# Scalar ASCII output created by CarpetIOScalar
# created on lu-laptop. by ludovicarbone on Mar 10 2025 at 10:14:05+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-lu-laptop.-ludovicarbone-2025.03.04-15.23.52-88213
# Simulation ID: run-TOV_example-lu-laptop.-ludovicarbone-2025.03.10-09.14.02-34288
# Run ID: run-TOV_example-lu-laptop.-ludovicarbone-2025.03.10-09.14.02-34288
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 2.01129913330078 0 0.322961091995239 0 1.73491621017456 0 0 0 0 0 0 0 0 0 46.1992788717151 184228.50897767 0 184228.50897767 160 644887 2023 642864 0 0 0 0 2.00898599624634 1741598045.00025 266
512 0.25 780.384346474963 780.384346474963 3.22711801528931 1.15327787399292 1.47792458534241 0 1.75400257110596 3 445013.30648363 445013.30648363 513224 513224 320588.826281661 320588.826281661 369728 369728 104.047955408525 375556.52151057 8036.27532515185 367520.246185418 186 657122 14258 642864 0 0 0 0 3.21718621253967 1741598046.21606 905
1024 0.5 748.854630645586 748.854630645586 4.47751092910767 2.40367078781128 2.68587207794189 0 1.81975793838501 6 427033.521064945 427033.521064945 1026448 1026448 307636.138754812 307636.138754812 739456 739456 136.188160823391 372282.616871142 8646.83191588515 363635.784955257 284 676125 15693 660432 0 0 0 0 4.45846962928772 1741598047.46646 1544
1536 0.75 712.71925819332 712.71925819332 5.86214804649353 3.78830790519714 4.02980732917786 0 1.83696246147156 9 406427.365074454 406427.365074454 1539672 1539672 292791.406548111 292791.406548111 1109184 1109184 166.999508938644 369670.877036623 9240.09374457575 360430.783292047 310 677567 17135 660432 0 0 0 0 5.83704471588135 1741598048.85109 2183
2048 1 707.982289347234 707.982289347234 7.1587131023407 5.08487296104431 5.26118874549866 0 1.95036578178406 12 403726.113853272 403726.113853272 2052896 2052896 290845.417639749 290845.417639749 1478912 1478912 216.071007743133 521663.396008993 9695.26421817175 511968.131790822 492 1321885 18589 1303296 0 0 0 0 7.12537384033203 1741598050.14766 2822
2560 1.25 689.521832471746 678.354224409518 8.60010194778442 6.52626180648804 6.636470079422 0 1.96811294555664 15 393199.058831644 393199.058831644 2566120 2566120 283261.697862349 283261.697862349 1848640 1848640 261.7598584956 673792.283226379 10075.2082499552 663717.074976424 518 1323285 19989 1303296 0 0 0 0 8.55973291397095 1741598051.58905 3461
3072 1.5 684.833626269513 678.560978787423 9.95896697044373 7.88512682914734 7.9408655166626 0 2.06577062606812 18 390525.614453938 390525.614453938 3079344 3079344 281335.741081527 281335.741081527 2218368 2218368 285.416770757884 660609.999315024 10525.734452151 650084.264862873 616 1342306 21442 1320864 0 0 0 0 9.90724325180054 1741598052.94791 4100
3584 1.75 619.471040523249 669.619898967157 12.2438070774078 10.1699669361115 10.1544036865234 0 2.09497141838074 21 353252.672557227 353252.672557227 3592568 3592568 254484.2098562 254484.2098562 2588096 2588096 305.350322864149 643028.055693595 10855.2518383727 632172.803855222 642 1343749 22885 1320864 0 0 0 0 12.1859498023987 1741598055.23275 4739
4096 2 612.02294481944 661.921319641988 13.8381049633026 11.7642648220062 11.6748697757721 0 2.21384644508362 24 349005.404257792 349005.404257792 4105792 4105792 251424.46593578 251424.46593578 2957824 2957824 343.004775568136 765540.432009378 11159.2119706399 754381.220038738 824 1988060 24332 1963728 0 0 0 0 13.7728199958801 1741598056.82705 5378
4608 2.25 612.368119698895 656.401071567697 15.3011779785156 13.2273378372192 13.075511932373 0 2.23026609420776 27 349202.239849273 349202.239849273 4619016 4619016 251566.266844481 251566.266844481 3327552 3327552 380.110934192597 893777.843916736 11467.5784555528 882310.265461183 850 1989455 25727 1963728 0 0 0 0 15.228476524353 1741598058.29012 6017
