# Scalar ASCII output created by CarpetIOScalar
# created on lu-laptop. by ludovicarbone on Mar 10 2025 at 11:09:41+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-lu-laptop.-ludovicarbone-2025.03.04-15.23.52-88213
# Simulation ID: run-TOV_example-lu-laptop.-ludovicarbone-2025.03.10-10.09.38-35001
# Run ID: run-TOV_example-lu-laptop.-ludovicarbone-2025.03.10-10.09.38-35001
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 2.30133891105652 0 0.403782606124878 0 1.95922327041626 0 0 0 0 0 0 0 0 0 41.1054996351267 89040.8361327053 0 89040.8361327053 160 355351 2023 353328 0 0 0 0 2.29836797714233 1741601381.01899 266
512 0.375 1215.67842924579 1215.67842924579 3.49930000305176 1.11049103736877 1.5186185836792 0 1.98549771308899 3 214053.055811438 214053.055811438 237704 237704 141371.694788263 141371.694788263 156992 156992 91.8875687023176 185485.659837402 7098.56712062959 178387.092716772 186 367592 14264 353328 0 0 0 0 3.48647427558899 1741601382.21695 905
1024 0.75 832.856766417444 832.856766417444 5.63066291809082 3.24185395240784 3.59645414352417 0 2.06717109680176 6 146646.951707031 146646.951707031 475408 475408 96853.2218321535 96853.2218321535 313984 313984 119.948356850432 184439.279139343 7631.4684087955 176807.810730548 284 382015 15727 366288 0 0 0 0 5.60505533218384 1741601384.34831 1544
1536 1.125 1242.18493807917 1242.18493807917 5.64919304847717 3.26038408279419 3.57229661941528 0 2.08398342132568 9 218720.243349015 218720.243349015 713112 713112 144454.146517722 144454.146517722 470976 470976 147.335223710802 184541.701086713 8178.54937892709 176363.151707785 310 383479 17191 366288 0 0 0 0 5.61618161201477 1741601384.36684 2183
2048 1.5 1008.31464957956 1008.31464957956 7.74428009986877 5.35547113418579 5.57384324073792 0 2.24491858482361 12 177541.055899007 177541.055899007 950816 950816 117257.284049477 117257.284049477 627968 627968 188.902062861291 255119.146945253 8510.72903700918 246608.417908244 492 738288 18672 719616 0 0 0 0 7.7020161151886 1741601386.46193 2822
2560 1.875 1054.61319180612 1011.06793816672 8.7892599105835 6.40045094490051 6.53408217430115 0 2.26056003570557 15 185693.166033393 185693.166033393 1188520 1188520 122641.358672612 122641.358672612 784960 784960 227.919951377015 327920.938603755 8825.91189145547 319095.0267123 518 739725 20109 719616 0 0 0 0 8.73871397972107 1741601387.50691 3461
3072 2.25 1073.17390778747 1017.9047738748 9.93651390075684 7.54770493507385 7.63010764122009 0 2.35382294654846 18 188961.281908677 188961.281908677 1426224 1426224 124799.791208423 124799.791208423 941952 941952 249.739176529851 324027.042898378 9272.43407858922 314754.608819789 616 754167 21591 732576 0 0 0 0 9.86002612113953 1741601388.65416 4100
3584 2.625 954.712574501688 998.527822484798 12.2870759963989 9.89826703071594 9.9137806892395 0 2.37725853919983 21 168102.961340259 168102.961340259 1663928 1663928 111023.878886051 111023.878886051 1098944 1098944 268.824531896798 318302.150482976 9627.54189547013 308674.608587506 642 755634 23058 732576 0 0 0 0 12.2170267105103 1741601391.00472 4739
4096 3 991.572819803121 997.373951846469 13.2805960178375 10.8917870521545 10.838253736496 0 2.50139164924622 24 174593.204117393 174593.204117393 1901632 1901632 115310.370464097 115310.370464097 1255936 1255936 303.806720977875 379093.875200582 9966.25255434293 369127.622646239 824 1110437 24533 1085904 0 0 0 0 13.2013876438141 1741601391.99825 5378
4608 3.375 1013.45789072469 997.866895588307 14.377466917038 11.988657951355 11.8675072193146 0 2.51340556144714 27 178446.662560609 178446.662560609 2139336 2139336 117855.393467149 117855.393467149 1412928 1412928 337.057204849683 442889.183044766 10251.160615582 432638.022429184 850 1111843 25939 1085904 0 0 0 0 14.2888038158417 1741601393.09512 6017
5120 3.75 1031.64979817977 999.894717601077 15.4746448993683 13.0858359336853 12.9165320396423 0 2.60278964042664 30 181649.839723351 181649.839723351 2377040 2377040 119970.937122843 119970.937122843 1569920 1569920 354.949155799667 437612.826871105 10641.829150148 426970.997720957 948 1126290 27426 1098864 0 0 0 0 15.3710119724274 1741601394.19229 6656
5632 4.125 1047.82299629221 1002.54408485605 16.5610499382019 14.1722409725189 13.9475517272949 0 2.61663579940796 33 184497.568526403 184497.568526403 2614744 2614744 121851.724321412 121851.724321412 1726912 1726912 371.150053193789 431435.918071165 10978.7716250406 420457.146446124 974 1127765 28901 1098864 0 0 0 0 16.4523553848267 1741601395.2787 7295
6144 4.5 1071.89922024174 1006.36196637884 17.502170085907 15.113361120224 14.8072254657745 0 2.75389194488525 36 188736.838702477 188736.838702477 2852448 2852448 124651.557321624 124651.557321624 1883904 1883904 398.523959259399 481647.003171519 11201.7144153843 470445.288756135 1156 1482576 30384 1452192 0 0 0 0 17.3832762241364 1741601396.21982 7934
6656 4.875 1093.03489866765 1010.80133020962 18.4450209140778 16.0562119483948 15.6831040382385 0 2.7644419670105 39 192458.346335478 192458.346335478 3090152 3090152 127109.433193801 127109.433193801 2040896 2040896 426.515370648892 537242.453956594 11451.1049469546 525791.34900964 1182 1484028 31836 1452192 0 0 0 0 18.3176627159119 1741601397.16267 8573
7168 5.25 1100.18064245651 1016.17051887001 19.5678060054779 17.1789970397949 16.7596838474274 0 2.83760118484497 42 193716.547729246 193716.547729246 3327856 3327856 127940.414385579 127940.414385579 2197888 2197888 441.576231448861 531191.990962223 11795.7831375097 519396.207824714 1280 1498477 33325 1465152 0 0 0 0 19.43084192276 1741601398.28545 9212
7680 5.625 1099.28073085154 1021.78897417435 20.8099451065063 18.4211361408234 17.9598038196564 0 2.85343742370605 45 193558.093960248 193558.093960248 3565560 3565560 127835.763331737 127835.763331737 2354880 2354880 456.819458743041 526198.82632469 12135.889599434 514062.936725256 1306 1499950 34798 1465152 0 0 0 0 20.6618089675903 1741601399.52759 9851
8192 6 1093.32975796899 1026.29292608998 22.1449711322784 19.7561621665955 19.2132461071014 0 2.98105216026306 48 192510.264287601 192510.264287601 3803264 3803264 127143.722491162 127143.722491162 2511872 2511872 479.58112985549 569697.016485768 12307.7709164834 557389.245569284 1488 1854754 36274 1818480 0 0 0 0 21.988299369812 1741601400.86262 10490
8704 6.375 1088.53022934258 1030.15803834643 23.472284078598 21.083475112915 20.4831347465515 0 2.99178743362427 51 191665.177507888 191665.177507888 4040968 4040968 126585.583529593 126585.583529593 2668864 2668864 505.160442742479 620896.714694856 12536.3425635026 608360.372131353 1514 1856161 37681 1818480 0 0 0 0 23.3059108257294 1741601402.18993 11129
9216 6.75 1105.04030829798 1032.93438843224 24.3789570331573 21.9901480674744 21.3511075973511 0 3.06807327270508 54 194572.223291601 194572.223291601 4278672 4278672 128505.54672616 128505.54672616 2825856 2825856 519.180373175127 615547.11999862 12869.860548275 602677.259450345 1612 1870612 39172 1831440 0 0 0 0 24.2022440433502 1741601403.09661 11768
9728 7.125 1092.29016572106 1037.00244192772 25.8715801239014 23.4827711582184 22.7917966842651 0 3.08343076705933 57 192327.215964858 192327.215964858 4516376 4516376 127022.827923615 127022.827923615 2982848 2982848 530.556784925436 607793.709099591 13128.5204925888 594665.188607002 1638 1872080 40640 1831440 0 0 0 0 25.6841993331909 1741601404.58923 12407
10240 7.5 1102.65812405975 1039.55712092126 26.8750929832458 24.4862840175629 23.718327999115 0 3.20889520645142 60 194152.775349258 194152.775349258 4754080 4754080 128228.521638806 128228.521638806 3139840 3139840 550.563633573285 646967.705947963 13281.0013449712 633686.704602992 1820 2226897 42129 2184768 0 0 0 0 26.677773475647 1741601405.59274 13046
10752 7.875 1113.33262911585 1042.14273476995 27.8528969287872 25.4640879631042 24.6351704597473 0 3.22059154510498 63 196032.310571373 196032.310571373 4991784 4991784 129469.8637853 129469.8637853 3296832 3296832 572.453879384472 692464.701844226 13485.9194582029 678978.782386023 1846 2228373 43605 2184768 0 0 0 0 27.6485540866852 1741601406.57055 13685
11264 8.25 1124.99910186709 1044.85163014688 28.7888300418854 26.4000210762024 25.5337510108948 0 3.27916812896729 66 198086.508526085 198086.508526085 5229488 5229488 130826.562222458 130826.562222458 3453824 3453824 584.932034482913 686931.708481291 13797.8216726529 673133.886808639 1944 2242850 45122 2197728 0 0 0 0 28.575736284256 1741601407.50648 14324
11776 8.625 1134.131561106 1047.84098759969 29.766585111618 27.3777761459351 26.4796831607819 0 3.28959107398987 69 199694.524889734 199694.524889734 5467192 5467192 131888.579289743 131888.579289743 3610816 3610816 598.131623457722 682752.340522082 14120.2873387181 668632.053183364 1970 2244351 46623 2197728 0 0 0 0 29.5442681312561 1741601408.48423 14963
