# Scalar ASCII output created by CarpetIOScalar
# created on lu-laptop. by ludovicarbone on Mar 10 2025 at 13:59:27+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-lu-laptop.-ludovicarbone-2025.03.04-15.23.52-88213
# Simulation ID: run-TOV_example-lu-laptop.-ludovicarbone-2025.03.10-12.59.24-40343
# Run ID: run-TOV_example-lu-laptop.-ludovicarbone-2025.03.10-12.59.24-40343
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 2.11307191848755 0 0.273947477340698 0 1.88889527320862 0 0 0 0 0 0 0 0 0 42.4114857346795 62012.1169880606 0 62012.1169880606 160 427111 2023 425088 0 0 0 0 2.10985827445984 1741611567.70406 266
512 0.5 1299.00862536197 1299.00862536197 3.56170701980591 1.38567209243774 1.66129589080811 0 1.90999722480774 3 172716.186828128 172716.186828128 239328 239328 84799.2830636295 84799.2830636295 117504 117504 95.7687508891716 231078.945655084 7396.8205013686 223682.125153715 186 439341 14253 425088 0 0 0 0 3.54833173751831 1741611569.15269 905
1024 1 1581.43537975829 1581.43537975829 4.45244789123535 2.27641296386719 2.50419354438782 0 1.97497749328613 6 210267.648092662 210267.648092662 478656 478656 103236.101590621 103236.101590621 235008 235008 125.240321108389 228789.429224809 7939.4151102646 220850.014114544 284 454572 15660 438912 0 0 0 0 4.43157839775085 1741611570.04343 1544
1536 1.5 1843.95180652268 1843.95180652268 5.10452795028687 2.9284930229187 3.1210777759552 0 1.98595118522644 9 245171.832195255 245171.832195255 717984 717984 120373.1739298 120373.1739298 352512 352512 154.276625629433 229785.454607436 8498.32288107753 221287.131726359 310 455968 17056 438912 0 0 0 0 5.07706212997437 1741611570.69551 2183
2048 2 1989.41521882456 1989.41521882456 5.79518890380859 3.61915397644043 3.74498891830444 0 2.0991063117981 12 264512.647494913 264512.647494913 957312 957312 129869.025484867 129869.025484867 470016 470016 199.980491122274 278630.379494188 8920.10541864428 269710.274075544 492 882476 18476 864000 0 0 0 0 5.75977253913879 1741611571.38617 2822
2560 2.5 2086.68945499982 2086.68945499982 6.48908686637878 4.31305193901062 4.38307452201843 0 2.10868740081787 15 277446.229936776 277446.229936776 1196640 1196640 136219.087622388 136219.087622388 587520 587520 244.063146816983 419592.507311913 9338.5017674117 410254.005544501 518 883868 19868 864000 0 0 0 0 6.44690155982971 1741611572.08007 3461
3072 3 2168.60326071189 2168.60326071189 7.15619897842407 4.98016405105591 5.01303887367249 0 2.16857743263245 18 288337.489544254 288337.489544254 1435968 1435968 141566.420859272 141566.420859272 705024 705024 268.762001832226 415409.001887516 9847.14112268629 405561.860764829 616 899121 21297 877824 0 0 0 0 7.1054539680481 1741611572.74718 4100
3584 3.5 2241.02034846765 2241.02034846765 7.79847383499146 5.62243890762329 5.62278532981873 0 2.17874646186829 21 297966.065532258 297966.065532258 1675296 1675296 146293.808347968 146293.808347968 822528 822528 293.240506847899 413806.479125799 10336.9576786979 403469.521447101 642 900514 22690 877824 0 0 0 0 7.74004006385803 1741611573.38946 4739
4096 4 2278.11441398052 2256.29688817424 8.49705195426941 6.32101702690125 6.25748443603516 0 2.29047632217407 24 302898.09248285 302898.09248285 1914624 1914624 148715.308944648 148715.308944648 940032 940032 331.313967522183 453567.481993526 10681.9731065137 442885.508887012 824 1327026 24114 1302912 0 0 0 0 8.4303662776947 1741611574.08804 5378
4608 4.5 3945.73579722734 3945.73579722734 6.28173303604126 4.1056981086731 3.98397874832153 0 2.30049228668213 27 524625.031599347 524625.031599347 2153952 2153952 257577.632843 257577.632843 1057536 1057536 368.185582123128 578049.623103135 11012.4916903589 567037.131412776 850 1328417 25505 1302912 0 0 0 0 6.20828247070312 1741611571.87272 6017
5120 5 3703.78373064162 3703.78373064162 7.03592991828918 4.85989499092102 4.700275182724 0 2.36666560173035 30 492455.08482611 492455.08482611 2393280 2393280 241783.001936285 241783.001936285 1175040 1175040 388.756088891829 571503.133435942 11447.7536396363 560055.379796306 948 1343666 26930 1316736 0 0 0 0 6.95415735244751 1741611572.62691 6656
5632 5.5 3585.63858972306 3585.63858972306 7.69806385040283 5.52202892303467 5.32358932495117 0 2.37720036506653 33 476746.506889579 476746.506889579 2632608 2632608 234070.487137122 234070.487137122 1292544 1292544 408.51143678431 566382.155539945 11844.3047918783 554537.850748067 974 1345061 28325 1316736 0 0 0 0 7.60652780532837 1741611573.28905 7295
6144 6 3456.39871786968 3512.37905891541 8.42531394958496 6.2492790222168 5.98154211044312 0 2.49645304679871 36 459562.773527952 459562.773527952 2871936 2871936 225633.708302532 225633.708302532 1410048 1410048 439.484563492288 597579.928129795 12098.1016011634 585481.826528631 1156 1771579 29755 1741824 0 0 0 0 8.32520008087158 1741611574.0163 7934
6656 6.5 3377.32073319391 3499.90476503653 9.1046040058136 6.92856907844543 6.60129809379578 0 2.50624322891235 39 449048.564685463 449048.564685463 3111264 3111264 220471.497462899 220471.497462899 1527552 1527552 470.577724577999 708173.136766586 12363.6507433693 695809.486023216 1182 1772975 31151 1741824 0 0 0 0 8.99755191802979 1741611574.69559 8573
7168 7 3277.89527391066 3479.84189840293 9.86389493942261 7.68786001205444 7.32239818572998 0 2.56776165962219 42 435828.955619161 435828.955619161 3350592 3350592 213981.003480888 213981.003480888 1645056 1645056 487.901469163146 700140.575593749 12747.2128197407 687393.362774008 1280 1788238 32590 1755648 0 0 0 0 9.74866271018982 1741611575.45488 9212
