# Scalar ASCII output created by CarpetIOScalar
# created on lu-laptop. by ludovicarbone on Mar 10 2025 at 14:17:18+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-lu-laptop.-ludovicarbone-2025.03.04-15.23.52-88213
# Simulation ID: run-TOV_example-lu-laptop.-ludovicarbone-2025.03.10-13.17.16-40510
# Run ID: run-TOV_example-lu-laptop.-ludovicarbone-2025.03.10-13.17.16-40510
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 2.09402513504028 0 0.284770250320435 0 1.86340999603271 0 0 0 0 0 0 0 0 0 43.1116702564978 50089.1282733956 0 50089.1282733956 160 327271 2023 325248 0 0 0 0 2.09019780158997 1741612638.74471 266
512 0.6 3131.48842623957 3131.48842623957 2.85131692886353 0.689767837524414 0.976161003112793 0 1.8776068687439 3 227601.218061205 227601.218061205 156992 156992 98583.8949001347 98583.8949001347 68000 68000 97.0585952350256 180948.685568191 7497.50983741332 173451.175730778 186 339503 14255 325248 0 0 0 0 2.83981776237488 1741612639.502 905
1024 1.2 3694.36040263352 3694.36040263352 3.33089900016785 1.16934990882874 1.42087459564209 0 1.9347095489502 6 268511.587189927 268511.587189927 313984 313984 116303.938601426 116303.938601426 136000 136000 127.747058844823 180795.072137176 8097.80229161016 172697.269845565 284 353011 15667 337344 0 0 0 0 3.31143164634705 1741612639.98158 1544
1536 1.8 3972.33332412563 3972.33332412563 3.79283213615417 1.63128304481506 1.85275840759277 0 1.94256949424744 9 288715.070935709 288715.070935709 470976 470976 125054.937981733 125054.937981733 204000 204000 157.725964480177 182594.091546551 8712.04003805213 173882.051508499 310 354446 17102 337344 0 0 0 0 3.76611638069153 1741612640.44351 2183
2048 2.4 4074.8028601936 4074.8028601936 4.28189706802368 2.12034797668457 2.28200459480286 0 2.04907512664795 12 296162.708623849 296162.708623849 627968 627968 128280.830783873 128280.830783873 272000 272000 205.01102208745 223163.998052969 9168.49292925729 213995.505123712 492 681129 18537 662592 0 0 0 0 4.24720931053162 1741612640.93258 2822
2560 3 4057.73419284933 4057.73419284933 4.82313299179077 2.66158390045166 2.76867580413818 0 2.05666351318359 15 294922.132594353 294922.132594353 784960 784960 127743.483848961 127743.483848961 340000 340000 250.187739656573 332136.39305848 9622.00629869869 322514.386759782 518 682552 19960 662592 0 0 0 0 4.77952694892883 1741612641.47381 3461
3072 3.6 4092.47618232366 4092.47618232366 5.3283360004425 3.16678690910339 3.23798298835754 0 2.12280464172363 18 297447.231858961 297447.231858961 941952 941952 128837.213147226 128837.213147226 408000 408000 275.551544007146 329299.403507651 10118.8650327069 319180.538474944 616 696041 21353 674688 0 0 0 0 5.2768771648407 1741612641.97902 4100
3584 4.2 4122.29149359873 4122.29149359873 5.82941198348999 3.66786289215088 3.70097637176514 0 2.1308753490448 21 299614.252853265 299614.252853265 1098944 1098944 129775.843316997 129775.843316997 476000 476000 299.750669686913 327599.292249644 10611.5495698254 316987.742679819 642 697474 22786 674688 0 0 0 0 5.77046179771423 1741612642.48009 4739
4096 4.8 4124.04394256781 4124.04394256781 6.35161113739014 4.19006204605103 4.16380667686462 0 2.23801159858704 24 299741.623440558 299741.623440558 1255936 1255936 129831.013006764 129831.013006764 544000 544000 339.152796050965 360788.641874512 10980.41458158 349808.227292932 824 1024159 24223 999936 0 0 0 0 6.28481984138489 1741612643.00229 5378
4608 5.4 4166.94364226986 4166.94364226986 6.82683897018433 4.66528987884521 4.5832154750824 0 2.24558162689209 27 302859.637170014 302859.637170014 1412928 1412928 131181.559108496 131181.559108496 612000 612000 377.068613270858 457027.661832992 11348.606419743 445679.055413249 850 1025599 25663 999936 0 0 0 0 6.75325083732605 1741612643.47752 6017
